No,functionalGroupName
1,cation
2,anion
3,carbonyl compound
6,thiocarbonyl compound
27,hydroxy
28,alcohol
37,ether
47,amine
48,prim. amine
51,sec. amine
55,tert. amine
61,halogen deriv.
62,alkyl halide
67,aryl halide
73,organolithium compound
74,organomagnesium compound
75,carboxylic acid deriv.
77,carboxylic acid salt
80,carboxylic acid amide
91,acyl halide
99,thiocarboxylic acid deriv.
109,orthocarboxylic acid deriv.
116,CO2 deriv.
117,carbonic acid deriv.
121,thiocarbonic acid deriv.
125,carbamic acid deriv
129,thiocarbamic acid deriv.
142,diazonium salt
153,sulfuric acid deriv.
154,sulfuric acid
160,sulfuryl halide
161,sulfonic acid deriv.
168,sulfinic acid deriv.
173,sulfenic acid deriv.
178,thiol
181,phosphoric acid deriv.
182,phosphoric acid
186,thiophosphoric acid deriv.
187,thiophosphoric acid
191,phosphonic acid deriv.
196,boronic acid deriv.
